State,Year,Total_Pub_Under,4y_Pub_Under,2y_Pub_Under,Total_Pub_Postbacc,Total_Priv_Under,Np_4y_Priv_Under,Fp_4y_Priv_Under,Np_2y_Priv_Under,Fp_2y_Priv_Under,Total_Priv_Postbacc,Np_4y_Priv_Postbacc,Fp_4y_Priv_Postbacc,Total_Enrollment
Alabama,2012-13,216535,130260,86275,34510,49382,21674,24045,518,3145,9884,3917,5967,265917
Alabama,2013-14,213669,129045,84624,34615,47519,20808,23295,472,2944,9909,3866,6043,261188
Alabama,2014-15,212458,129916,82542,34531,47172,21160,22714,518,2780,10867,4354,6513,259630
Alabama,2015-16,212968,131503,81465,34483,44682,20938,21000,436,2308,10826,4593,6233,257650
Alabama,2016-17,216115,135080,81035,34923,41893,19891,19627,386,1989,11121,4679,6442,258008
Alabama,2017-18,217755,137019,80736,36316,41807,21369,18677,0,1761,10944,4780,6164,259562
Alabama,2018-19,217610,137380,80230,37477,37784,21155,16523,0,106,11311,5106,6205,255394
Alabama,2019-20,216326,136404,79922,38477,36888,20225,16126,0,537,11339,5322,6017,253214
Alabama,2020-21,204632,133781,70851,41865,34753,19125,15077,0,551,10931,5388,5543,239385
Alaska,2012-13,28034,27276,758,2561,1984,497,1259,0,228,218,218,0,30018
Alaska,2013-14,29089,27014,2075,2511,3008,429,2191,53,335,282,282,0,32097
Alaska,2014-15,27588,26456,1132,2304,4175,372,3256,68,479,264,253,11,31763
Alaska,2015-16,26118,25925,193,2275,2694,315,1935,66,378,244,234,10,28812
Alaska,2016-17,25146,24958,188,2206,851,348,0,79,424,243,243,0,25997
Alaska,2017-18,23765,23765,0,2085,842,338,0,74,430,213,213,0,24607
Alaska,2018-19,22659,22659,0,1990,842,346,0,81,415,201,201,0,23501
Alaska,2019-20,20428,20428,0,1900,833,377,0,95,361,192,192,0,21261
Alaska,2020-21,19210,19210,0,1858,857,352,0,93,412,181,181,0,20067
American Samoa,2012-13,1795,1795,0,0,0,0,0,0,0,0,0,0,1795
American Samoa,2013-14,1488,1488,0,0,0,0,0,0,0,0,0,0,1488
American Samoa,2014-15,1276,1276,0,0,0,0,0,0,0,0,0,0,1276
American Samoa,2015-16,1285,1285,0,0,0,0,0,0,0,0,0,0,1285
American Samoa,2016-17,1253,1253,0,0,0,0,0,0,0,0,0,0,1253
American Samoa,2017-18,1095,1095,0,0,0,0,0,0,0,0,0,0,1095
American Samoa,2018-19,1037,1037,0,0,0,0,0,0,0,0,0,0,1037
American Samoa,2019-20,1035,1035,0,0,0,0,0,0,0,0,0,0,1035
American Samoa,2020-21,1081,1081,0,0,0,0,0,0,0,0,0,0,1081
Arizona,2012-13,332352,114685,217667,26877,289258,3503,274906,0,10849,87892,5598,82294,621610
Arizona,2013-14,326431,117378,209053,28031,254171,4193,239961,0,10017,85490,5389,80101,580602
Arizona,2014-15,325609,125301,200308,29388,236840,4569,222900,0,9371,82909,5285,77624,562449
Arizona,2015-16,330531,134476,196055,30445,210846,5012,197019,0,8815,77910,4594,73316,541377
Arizona,2016-17,329282,141410,187872,32118,181083,4928,166124,0,10031,65601,4872,60729,510365
Arizona,2017-18,333136,146611,186525,33651,160274,4775,144976,0,10523,64565,5160,59405,493410
Arizona,2018-19,331864,153026,178838,35334,151152,5496,136052,0,9604,63632,5427,58205,483016
Arizona,2019-20,340111,159598,180513,37537,165055,5909,148920,36,10190,66441,5835,60606,505166
Arizona,2020-21,318994,165912,153082,39807,172238,5649,155297,0,11292,69064,6085,62979,491232
Arkansas,2012-13,141323,81479,59844,15901,16181,13973,1704,319,185,3053,2860,193,157504
Arkansas,2013-14,137645,81660,55985,16045,15995,14021,1331,559,84,2539,2339,200,153640
Arkansas,2014-15,135303,81890,53413,16096,15829,14136,976,656,61,2343,2203,140,151132
Arkansas,2015-16,132725,82087,50638,17440,15905,14309,559,1017,20,2332,2228,104,148630
Arkansas,2016-17,130299,81842,48457,19084,15661,14085,279,1178,119,2276,2183,93,145960
Arkansas,2017-18,127926,81277,46649,18771,15129,13535,245,1296,53,2256,2178,78,143055
Arkansas,2018-19,124058,80394,43664,18324,15178,13504,292,1326,56,2178,2102,76,139236
Arkansas,2019-20,123897,78838,45059,18053,14351,12981,404,914,52,2286,2194,92,138248
Arkansas,2020-21,114754,75019,39735,18208,13932,12548,407,939,38,2400,2326,74,128686
California,2012-13,2023402,564081,1459321,105750,336257,161047,105455,1665,68090,156051,134542,21509,2359659
California,2013-14,2043487,580436,1463051,104660,328435,168155,95150,1593,63537,160339,138078,22261,2371922
California,2014-15,2060715,599702,1461013,106729,365925,169008,136260,1864,58793,163046,136599,26447,2426640
California,2015-16,2095116,617777,1477339,107978,321357,166925,114442,1785,38205,163904,135703,28201,2416473
California,2016-17,2120578,838948,1281630,108354,295702,164797,98805,1602,30498,175472,137762,37710,2416280
California,2017-18,2127753,894077,1233676,119091,287584,166122,93836,1497,26129,179623,141637,37986,2415337
California,2018-19,2131013,897291,1233722,119206,279221,167358,87204,1260,23399,182980,142955,40025,2410234
California,2019-20,2127557,900505,1227052,119671,282437,169010,86815,1547,25065,185420,154933,30487,2409994
California,2020-21,2000882,873641,1127241,122676,268935,161810,76012,623,30490,187498,157875,29623,2269817
Colorado,2012-13,238951,141157,97794,33493,66283,19606,36360,245,10072,24208,13668,10540,305234
Colorado,2013-14,236661,143116,93545,34562,63791,21833,32305,7,9646,23709,13272,10437,300452
Colorado,2014-15,232636,143484,89152,35405,61945,21585,30972,0,9388,23841,12787,11054,294581
Colorado,2015-16,229875,144810,85065,35953,59601,22012,29685,624,7280,22669,12765,9904,289476
Colorado,2016-17,235434,162875,72559,37233,57830,21271,29349,265,6945,21799,12733,9066,293264
Colorado,2017-18,240451,173553,66898,38458,59354,21083,30535,351,7385,21973,12647,9326,299805
Colorado,2018-19,240200,199657,40543,39295,59442,20933,29992,130,8387,21600,12817,8783,299642
Colorado,2019-20,243282,221800,21482,40273,61867,20065,32175,72,9555,22701,13290,9411,305149
Colorado,2020-21,229203,209758,19445,40703,67890,18885,35329,0,13676,24471,14129,10342,297093
Connecticut,2012-13,111481,53253,58228,13471,55331,47176,7883,0,272,21375,20589,786,166812
Connecticut,2013-14,109851,52874,56977,13242,56330,47885,8383,0,62,21543,20832,711,166181
Connecticut,2014-15,108641,53487,55154,13662,57184,48679,8505,0,0,22441,21717,724,165825
Connecticut,2015-16,106337,53576,52761,13429,56722,49154,7568,0,0,23178,22561,617,163059
Connecticut,2016-17,103564,53016,50548,13781,57088,49388,7700,0,0,23578,22956,622,160652
Connecticut,2017-18,102297,52917,49380,13793,58271,49883,8388,0,0,23173,22477,696,160568
Connecticut,2018-19,101145,53236,47909,13384,59394,50262,9132,0,0,23557,22761,796,160539
Connecticut,2019-20,97384,52236,45148,13281,59211,49482,9729,0,0,23810,22897,913,156595
Connecticut,2020-21,89871,51057,38814,13119,60090,47114,12976,0,0,23637,22641,996,149961
Delaware,2012-13,37012,22079,14933,4101,10804,10297,296,211,0,6211,6120,91,47816
Delaware,2013-14,36869,22379,14490,4123,11357,10875,286,196,0,7266,7174,92,48226
Delaware,2014-15,36898,22963,13935,4114,11492,11070,237,185,0,7864,7766,98,48390
Delaware,2015-16,36514,23043,13471,4097,11467,11067,247,153,0,8314,8235,79,47981
Delaware,2016-17,37687,37687,0,4129,11360,10944,246,170,0,7963,7908,55,49047
Delaware,2017-18,37995,37995,0,4326,11073,10663,267,143,0,6944,6891,53,49068
Delaware,2018-19,38059,38059,0,4542,11420,11010,292,118,0,6679,6620,59,49479
Delaware,2019-20,37653,37653,0,4583,11555,11068,352,135,0,6192,6140,52,49208
Delaware,2020-21,36414,36414,0,4893,11374,10910,357,107,0,5997,5960,37,47788
District of Columbia,2012-13,4857,4857,0,619,42842,39085,3757,0,0,41832,39915,1917,47699
District of Columbia,2013-14,4712,4712,0,635,42475,39273,3022,0,180,41435,39635,1800,47187
District of Columbia,2014-15,4491,4491,0,624,43665,39370,4058,22,215,41273,39110,2163,48156
District of Columbia,2015-16,4485,4485,0,633,46069,39594,5606,29,840,42808,39678,3130,50554
District of Columbia,2016-17,3950,3950,0,637,44998,38681,5838,0,479,43455,40257,3198,48948
District of Columbia,2017-18,3859,3859,0,670,46706,39917,6402,0,387,44764,41182,3582,50565
District of Columbia,2018-19,3867,3867,0,633,48230,40395,7487,0,348,45046,40996,4050,52097
District of Columbia,2019-20,3828,3828,0,624,49494,40760,8363,0,371,44963,40811,4152,53322
District of Columbia,2020-21,3385,3385,0,561,48887,40448,7822,0,617,44648,41036,3612,52272
"Federated States of
   Micronesia",2012-13,2744,0,2744,0,0,0,0,0,0,0,0,0,2744
"Federated States of
   Micronesia",2013-14,2446,0,2446,0,0,0,0,0,0,0,0,0,2446
"Federated States of
   Micronesia",2014-15,2344,0,2344,0,0,0,0,0,0,0,0,0,2344
"Federated States of
   Micronesia",2015-16,2215,0,2215,0,0,0,0,0,0,0,0,0,2215
"Federated States of
   Micronesia",2016-17,2090,0,2090,0,0,0,0,0,0,0,0,0,2090
"Federated States of
   Micronesia",2017-18,2022,0,2022,0,0,0,0,0,0,0,0,0,2022
"Federated States of
   Micronesia",2018-19,1931,0,1931,0,0,0,0,0,0,0,0,0,1931
"Federated States of
   Micronesia",2019-20,1903,0,1903,0,0,0,0,0,0,0,0,0,1903
"Federated States of
  Micronesia",2020-21,1861,1861,0,0,0,0,0,0,0,0,0,0,1861
Florida,2012-13,738862,666812,72050,65831,284951,124905,114259,1630,44157,65285,53397,11888,1023813
Florida,2013-14,730678,678055,52623,65182,267280,125440,106140,1789,33911,62670,53385,9285,997958
Florida,2014-15,730317,687648,42669,65311,254038,127491,91217,1572,33758,61352,52868,8484,984355
Florida,2015-16,727982,686642,41340,66408,228427,138671,54100,15285,20371,60445,53261,7184,956409
Florida,2016-17,728374,698976,29398,68674,219432,134631,48248,18185,18368,59016,52507,6509,947806
Florida,2017-18,728069,700443,27626,69976,216254,131494,45038,20146,19576,57185,51619,5566,944323
Florida,2018-19,730278,707095,23183,70173,213533,130141,46487,20444,16461,54079,49744,4335,943811
Florida,2019-20,726217,703813,22404,71735,215087,130662,48624,19866,15935,53744,49567,4177,941304
Florida,2020-21,686879,667347,19532,76297,208988,130020,48534,9372,21062,55167,50788,4379,895867
Georgia,2012-13,382476,234809,147667,39713,94337,51705,33780,504,8348,28832,21024,7808,476813
Georgia,2013-14,373957,233685,140272,39749,90822,51860,29978,490,8494,28896,21044,7852,464779
Georgia,2014-15,372283,247004,125279,41469,87883,51820,27329,465,8269,29369,20977,8392,460166
Georgia,2015-16,374330,252947,121383,44123,82458,51376,22750,1441,6891,30388,21289,9099,456788
Georgia,2016-17,376377,264674,111703,45782,80750,52698,19073,1981,6998,29998,21418,8580,457127
Georgia,2017-18,379683,265552,114131,48903,80177,55431,16384,1763,6599,29361,21661,7700,459860
Georgia,2018-19,383200,265868,117332,52544,80023,57441,15311,1931,5340,27676,21729,5947,463223
Georgia,2019-20,387725,265796,121929,57068,82152,58903,15910,2103,5236,26810,21663,5147,469877
Georgia,2020-21,380577,268641,111936,62569,78542,56579,14513,2177,5273,25701,21562,4139,459119
Guam,2012-13,5556,3411,2145,291,75,75,0,0,0,2,2,0,5631
Guam,2013-14,6135,3532,2603,304,75,75,0,0,0,4,4,0,6210
Guam,2014-15,6118,3660,2458,298,69,69,0,0,0,3,3,0,6187
Guam,2015-16,6030,3696,2334,295,65,65,0,0,0,5,5,0,6095
Guam,2016-17,5704,3562,2142,313,64,64,0,0,0,3,3,0,5768
Guam,2017-18,5636,3581,2055,336,53,53,0,0,0,2,2,0,5689
Guam,2018-19,5503,3421,2082,323,59,59,0,0,0,3,3,0,5562
Guam,2019-20,5015,3215,1800,348,54,54,0,0,0,2,2,0,5069
Guam,2020-21,4834,4834,0,331,273,273,0,0,0,0,0,0,5107
Hawaii,2012-13,53935,24602,29333,6360,15337,12131,1495,0,1711,2824,2161,663,69272
Hawaii,2013-14,52848,24393,28455,6093,14835,11124,1607,0,2104,2658,1963,695,67683
Hawaii,2014-15,51109,23958,27151,5943,13958,10215,1839,0,1904,2495,1754,741,65067
Hawaii,2015-16,50011,23234,26777,5745,11355,9088,1757,0,510,2220,1498,722,61366
Hawaii,2016-17,47903,22488,25415,5515,10440,8497,1426,0,517,2000,1317,683,58343
Hawaii,2017-18,46375,22236,24139,5299,10593,8921,1050,0,622,1858,1238,620,56968
Hawaii,2018-19,45731,22004,23727,5332,9628,8624,313,0,691,1164,1071,93,55359
Hawaii,2019-20,44564,21490,23074,5413,9293,8479,188,0,626,1164,1099,65,53857
Hawaii,2020-21,44278,21978,22300,5316,8994,8737,107,0,150,1105,1041,64,53272
Idaho,2012-13,71476,45836,25640,7305,28425,25977,1940,0,508,802,772,30,99901
Idaho,2013-14,68563,44288,24275,7347,32599,30978,1069,0,552,809,785,24,101162
Idaho,2014-15,69581,44437,25144,7225,41381,39913,974,0,494,766,749,17,110962
Idaho,2015-16,65222,43052,22170,7117,48022,46908,694,0,420,747,743,4,113244
Idaho,2016-17,66855,44662,22193,7812,48404,47767,197,0,440,725,725,0,115259
Idaho,2017-18,68292,44932,23360,7500,55305,54797,79,0,429,706,706,0,123597
Idaho,2018-19,69427,45686,23741,7706,45618,45190,0,0,428,736,736,0,115045
Idaho,2019-20,70920,53677,17243,7904,42438,41984,0,0,454,702,702,0,113358
Idaho,2020-21,66621,49881,16740,7922,47720,47148,38,0,534,734,734,0,114341
Illinois,2012-13,507197,148467,358730,49940,206514,137447,60339,718,8010,103459,89662,13797,713711
Illinois,2013-14,496801,145231,351570,49682,197298,136856,53879,743,5820,99107,86528,12579,694099
Illinois,2014-15,480483,144381,336102,48979,195768,136222,53353,735,5458,99750,85694,14056,676251
Illinois,2015-16,459770,143615,316155,49334,190820,134754,49923,389,5754,102319,86199,16120,650590
Illinois,2016-17,443681,139508,304173,48897,182387,131672,45300,368,5047,102755,86243,16512,626068
Illinois,2017-18,429557,136146,293411,48485,175416,128895,42046,421,4054,103544,85935,17609,604973
Illinois,2018-19,416652,133237,283415,48577,169947,127625,38998,411,2913,103272,85416,17856,586599
Illinois,2019-20,402219,130883,271336,50245,162996,127429,31849,364,3354,103044,85734,17310,565215
Illinois,2020-21,363290,129513,233777,53074,161848,122747,35180,355,3566,103776,85260,18516,525138
Indiana,2012-13,295297,195025,100272,38472,97328,72773,18411,439,5705,16165,15703,462,392625
Indiana,2013-14,297602,198824,98778,38321,92203,72511,14837,424,4431,16238,15854,384,389805
Indiana,2014-15,289939,198760,91179,38503,90936,73466,12876,400,4194,16949,16658,291,380875
Indiana,2015-16,282266,200598,81668,39234,86933,72458,10052,504,3919,17930,17790,140,369199
Indiana,2016-17,279127,200217,78910,40454,81368,72770,5458,582,2558,18254,18152,102,360495
Indiana,2017-18,260504,185018,75486,41058,79162,71501,4259,548,2854,18080,17936,144,339666
Indiana,2018-19,254093,182087,72006,42136,74266,70602,597,415,2652,17853,17782,71,328359
Indiana,2019-20,281340,208651,72689,51310,72191,68861,338,386,2606,18065,17993,72,353531
Indiana,2020-21,270074,206265,63809,52986,69356,66312,365,344,2335,18533,18457,76,339430
Iowa,2012-13,158615,58207,100408,14943,156803,44565,111751,203,284,30822,11439,19383,315418
Iowa,2013-14,153795,60013,93782,14849,139882,44563,94716,0,603,31212,11720,19492,293677
Iowa,2014-15,154952,61389,93563,14944,88439,43737,44139,0,563,24147,12377,11770,243391
Iowa,2015-16,156026,63560,92466,14979,80986,41564,38989,0,433,23115,12515,10600,237012
Iowa,2016-17,156060,65251,90809,15015,73392,40477,32655,0,260,22046,12998,9048,229452
Iowa,2017-18,155277,65035,90242,15150,69064,39786,29171,0,107,21463,13084,8379,224341
Iowa,2018-19,176979,87557,89422,22252,41090,38244,2770,0,76,13737,13223,514,218069
Iowa,2019-20,149552,60729,88823,14360,40268,37528,2686,0,54,13853,13334,519,189820
Iowa,2020-21,141148,57436,83712,14211,39045,36340,2643,0,62,13816,13314,502,180193
Kansas,2012-13,162950,79719,83231,21026,24918,18706,2383,2280,1549,4892,4885,7,187868
Kansas,2013-14,163070,79519,83551,21005,26710,21179,3291,445,1795,5070,5069,1,189780
Kansas,2014-15,161526,80193,81333,21696,36343,20492,13672,428,1751,6836,5137,1699,197869
Kansas,2015-16,158138,78985,79153,21622,33770,20373,11956,0,1441,6692,4876,1816,191908
Kansas,2016-17,158127,78570,79557,22043,28504,18830,8391,0,1283,5627,4228,1399,186631
Kansas,2017-18,157833,78708,79125,22023,28357,18648,8667,0,1042,5749,4262,1487,186190
Kansas,2018-19,157337,78674,78663,22263,27277,18804,7663,0,810,5860,4508,1352,184614
Kansas,2019-20,154578,77475,77103,22642,25669,18245,6507,0,917,5649,4462,1187,180247
Kansas,2020-21,140706,73356,67350,23111,23841,16571,6006,0,1264,5461,4312,1149,164547
Kentucky,2012-13,200102,102520,97582,23990,45840,29709,12818,0,3313,12193,10514,1679,245942
Kentucky,2013-14,195144,103207,91937,23328,42593,29321,10634,0,2638,12008,10509,1499,237737
Kentucky,2014-15,190092,103533,86559,22951,38975,28221,8671,0,2083,12179,10804,1375,229067
Kentucky,2015-16,182947,103122,79825,22961,36923,27773,8034,0,1116,12891,11710,1181,219870
Kentucky,2016-17,182322,102912,79410,23109,34556,27290,6635,0,631,15085,14042,1043,216878
Kentucky,2017-18,179632,102076,77556,22634,36194,28815,6377,0,1002,20038,19143,895,215826
Kentucky,2018-19,176907,99233,77674,22841,36008,29190,5835,0,983,27205,26314,891,212915
Kentucky,2019-20,175993,97647,78346,23621,36848,29792,5831,0,1225,30045,29333,712,212841
Kentucky,2020-21,165857,95646,70211,25787,38348,30581,6497,0,1270,31421,30743,678,204205
Louisiana,2012-13,197648,119606,78042,23323,29621,19897,3238,1054,5432,8233,7930,303,227269
Louisiana,2013-14,193160,117224,75936,22493,27960,19122,2947,944,4947,8274,7999,275,221120
Louisiana,2014-15,188271,116728,71543,22672,27018,18677,2381,636,5324,7977,7739,238,215289
Louisiana,2015-16,188258,119191,69067,23076,25691,18337,1924,492,4938,7635,7516,119,213949
Louisiana,2016-17,186093,120077,66016,22161,23437,17771,802,368,4496,7596,7546,50,209530
Louisiana,2017-18,186785,120524,66261,23906,24043,18624,56,481,4882,7331,7331,0,210828
Louisiana,2018-19,184973,119985,64988,25723,23027,19148,75,492,3312,7678,7678,0,208000
Louisiana,2019-20,185195,119313,65882,27765,22947,19142,208,506,3091,7843,7843,0,208142
Louisiana,2020-21,181276,122056,59220,29926,23801,19699,300,573,3229,8504,8504,0,205077
Maine,2012-13,46007,27739,18268,4263,17077,15383,952,285,457,5463,5453,10,63084
Maine,2013-14,45528,27309,18219,4074,16534,14774,988,308,464,4713,4684,29,62062
Maine,2014-15,44889,26710,18179,3963,17611,15392,1502,288,429,5783,5712,71,62500
Maine,2015-16,43908,26526,17382,3496,18340,16300,1436,273,331,5971,5851,120,62248
Maine,2016-17,43952,26699,17253,3811,18504,16801,1182,220,301,5849,5716,133,62456
Maine,2017-18,43066,26107,16959,3933,18853,17419,944,242,248,5959,5807,152,61919
